Date,Open,High,Low,Close,Volume
31-Mar-17,65266.22,65596.61,64859.03,64984.07,-
30-Mar-17,65541.26,65775.41,65070.19,65265.98,-
29-Mar-17,64635.56,65551.37,64476.06,65528.29,-
28-Mar-17,64308.08,64847.15,64041.70,64640.45,-
27-Mar-17,63829.32,64356.32,63030.09,64308.39,-
24-Mar-17,63553.78,63997.33,63468.60,63853.77,-
23-Mar-17,63521.33,63942.06,62840.03,63530.79,-
22-Mar-17,62980.03,63747.06,62496.17,63521.33,-
21-Mar-17,64883.93,64964.54,62794.75,62980.37,-
20-Mar-17,64231.73,65135.89,63672.13,64884.27,-
17-Mar-17,65783.48,66205.10,64151.75,64209.94,-
16-Mar-17,66232.18,66554.15,65530.52,65782.85,-
15-Mar-17,64701.86,66317.67,64537.21,66234.87,-
14-Mar-17,65511.27,65549.40,64699.46,64699.46,-
13-Mar-17,64674.12,65651.25,64674.12,65534.30,-
10-Mar-17,64585.90,65724.82,64471.98,64675.46,-
9-Mar-17,64718.02,65067.91,64202.84,64585.24,-
8-Mar-17,65747.70,65809.51,64496.42,64718.02,-
7-Mar-17,66343.00,66641.04,65667.94,65742.32,-
6-Mar-17,66786.01,66891.75,66118.70,66341.37,-
3-Mar-17,65860.37,66800.75,65860.37,66785.53,-
2-Mar-17,67000.38,67035.31,65593.85,65854.93,-
1-Mar-17,66661.27,67397.88,66661.27,66988.88,-
24-Feb-17,67458.48,67458.48,66452.07,66662.10,-
23-Feb-17,68590.50,69487.58,67279.36,67461.39,-
22-Feb-17,69052.09,69052.09,68282.04,68589.54,-
21-Feb-17,68536.46,69111.74,68536.46,69052.03,-
20-Feb-17,67756.15,68673.90,67756.15,68532.86,-
17-Feb-17,67814.24,67819.34,67157.67,67748.42,-
16-Feb-17,67978.77,68455.85,67661.42,67814.24,-
15-Feb-17,66712.28,68015.57,66712.28,67975.58,-
14-Feb-17,66971.34,67110.44,66251.14,66712.88,-
13-Feb-17,66124.53,67093.64,66124.53,66967.64,-
10-Feb-17,64964.89,66291.72,64935.42,66124.53,-
9-Feb-17,64850.11,65302.16,64586.73,64964.89,-
8-Feb-17,64199.86,64835.40,63739.96,64835.40,-
7-Feb-17,64022.34,64815.27,63937.92,64198.90,-
6-Feb-17,64957.48,65326.58,63932.71,63992.93,-
3-Feb-17,64579.26,65387.02,64264.20,64953.93,-
2-Feb-17,64835.04,65132.35,64162.64,64578.22,-
1-Feb-17,64686.87,65593.52,64686.87,64836.13,-
31-Jan-17,64309.77,64900.60,64283.59,64670.78,-
30-Jan-17,66025.22,66025.47,64164.59,64301.73,-
27-Jan-17,66195.21,66242.07,65875.96,66033.99,-
26-Jan-17,65841.71,66593.58,65841.71,66190.62,-
24-Jan-17,65751.89,66172.86,65615.27,65840.09,-
23-Jan-17,64518.51,65815.85,64500.43,65748.63,-
20-Jan-17,63950.86,64693.54,63950.86,64521.18,-
19-Jan-17,64145.28,64455.74,63573.81,63950.86,-
18-Jan-17,64359.61,64680.35,64062.55,64149.58,-
17-Jan-17,63827.32,64658.01,63456.01,64354.34,-
16-Jan-17,63651.52,64013.78,63555.67,63831.28,-
13-Jan-17,63939.59,64091.98,63365.78,63651.52,-
12-Jan-17,62448.02,64342.39,62448.02,63953.93,-
11-Jan-17,62133.61,62674.45,61664.60,62446.26,-
10-Jan-17,61710.16,62445.90,61710.16,62131.80,-
9-Jan-17,61680.07,62111.59,61307.46,61700.29,-
6-Jan-17,62071.50,62071.50,61395.57,61665.37,-
5-Jan-17,61594.13,62408.60,61594.13,62070.98,-
4-Jan-17,61810.85,61940.47,61302.28,61589.06,-
3-Jan-17,59631.15,61814.60,59631.15,61813.83,-
2-Jan-17,60227.28,60227.28,59370.90,59588.70,-
29-Dec-16,59781.92,60248.07,59277.63,60227.29,-
28-Dec-16,58688.04,59911.12,58688.04,59781.63,-
27-Dec-16,58627.19,59067.69,58402.39,58696.69,-
26-Dec-16,57940.76,58781.46,57940.76,58620.26,-
23-Dec-16,57255.22,58142.76,57255.22,57937.11,-
22-Dec-16,57645.94,57645.94,56828.56,57255.22,-
21-Dec-16,57583.30,58049.05,57221.50,57646.52,-
20-Dec-16,57115.86,57918.26,57038.49,57582.89,-
19-Dec-16,58390.13,58599.87,57109.27,57110.99,-
